id,name,dog_status,is_spayed,is_house_trained,is_declawed,has_special_needs,shots_current,address,country,state,City,gender,age,primary breed,secondary breed,Rank_x,Total Score,Pet Budget Rank,Pet Health and Wellness Rank,Outdoor Pet Friendliness Rank,Rank_y
44726012.0,ARCHIE,adoptable,False,False,,False,False,3599 NW 79 Avenue Doral,US,FL,Miami,Male,Adult,Poodle,Yorkshire Terrier,29.0,49.79,15.0,35.0,64.0,7.0
44726036.0,BELLE,adoptable,False,False,,False,False,3599 NW 79 Avenue Doral,US,FL,Miami,Female,Adult,Poodle,Yorkshire Terrier,29.0,49.79,15.0,35.0,64.0,7.0
44730263.0,Carl,adoptable,True,False,,False,True,1700 Mardi Gras Blvd.,US,LA,New Orleans,Male,Baby,Dachshund,,65.0,44.49,72.0,43.0,53.0,12.0
44730129.0,Snitch,adoptable,True,False,,False,True,1520 W. Mingus Ave.,US,AZ,Cottonwood,Male,Adult,Dachshund,,,,,,,12.0
44730130.0,Bludger,adoptable,True,False,,False,True,1520 W. Mingus Ave.,US,AZ,Cottonwood,Male,Adult,Dachshund,,,,,,,12.0
44730131.0,Mac,adoptable,True,False,,False,True,1520 W. Mingus Ave.,US,AZ,Cottonwood,Male,Adult,Dachshund,,,,,,,12.0
44730132.0,Cheese,adoptable,True,False,,False,True,1520 W. Mingus Ave.,US,AZ,Cottonwood,Female,Adult,Dachshund,,,,,,,12.0
44729298.0,A308632,adoptable,True,False,,False,False,2811 SE 29th Street,US,OK,Oklahoma City,Female,Young,Dachshund,,26.0,50.42,2.0,69.0,82.0,12.0
44730018.0,REESE,adoptable,True,False,,False,False,1601 Eubanks Road,US,NC,Chapel Hill,Male,Young,Dachshund,,,,,,,12.0
44729592.0,TOLEDO,adoptable,False,False,,False,False,610 Abbott Lane,US,CO,Colorado Springs,Male,Baby,Dachshund,,25.0,50.61,74.0,25.0,14.0,12.0
44729593.0,TOMMY,adoptable,False,False,,False,False,610 Abbott Lane,US,CO,Colorado Springs,Male,Baby,Dachshund,,25.0,50.61,74.0,25.0,14.0,12.0
44729484.0,Tulip,adoptable,True,False,,False,False,,US,CA,San Diego,Female,Young,Dachshund,,3.0,58.1,78.0,3.0,6.0,12.0
44729485.0,Clover,adoptable,False,False,,True,False,,US,CA,San Diego,Female,Young,Dachshund,,3.0,58.1,78.0,3.0,6.0,12.0
44729046.0,BUSTER,adoptable,False,False,,False,False,2032 Circle Rd,US,TX,Waco,Male,Young,Dachshund,,,,,,,12.0
44728864.0,Rebeca,adoptable,False,False,,False,True,,US,GA,Alpharetta,Female,Baby,Dachshund,,,,,,,12.0
